python-pytest 1:8.4.1-1
python-pyxdg 0.28-4
python-rapidfuzz 3.12.2-1
python-setproctitle 1.3.5-1
python-setuptools 1:80.9.0-1
python-tqdm 4.67.1-2
python-websocket-client 1.8.0-2
python-wheel 0.45.1-1
python311 3.11.13-1
qca-qt6 2.3.10-2
qrencode 4.1.1-4
qt5-base 5.15.17+kde+r123-1
qt5-declarative 5.15.17+kde+r21-1
qt5-svg 5.15.17+kde+r5-1
qt5-translations 5.15.17-1
qt5-wayland 5.15.17+kde+r57-1
qt5-x11extras 5.15.17-1
qt6-5compat 6.9.1-1
qt6-base 6.9.1-1
qt6-declarative 6.9.1-1
qt6-multimedia 6.9.1-1
qt6-multimedia-ffmpeg 6.9.1-1
qt6-shadertools 6.9.1-1
qt6-speech 6.9.1-1
qt6-svg 6.9.1-1
qt6-translations 6.9.1-1
qt6-wayland 6.9.1-1
qtractor 1.5.6-1
raptor 2.0.16-7
rav1e 0.7.1-1
re2 1:20240702-5
readline 8.2.013-2
rhash 1.4.4-1
ripgrep 14.1.1-1
ripgrep-all 0.10.9-1
rnnoise 1:0.2-1
rofi-wayland 1.7.9.1-1
rsync 3.4.1-2
rtkit 0.13-3
rtmpdump 1:2.4.r105.6f6bb13-1
rubberband 4.0.0-1
rygel 1:0.44.2-3
sane 1.4.0-1
sbc 2.0-2
scdoc 1.11.3-1
scrcpy 3.3-1
sdbus-cpp 2.1.0-2
sdl2-compat 2.32.56-1
sdl2_ttf 2.24.0-1
sdl3 3.2.16-1
seatd 0.9.1-1
sed 4.9-3
serd 0.32.4-1
shaderc 2025.2-2
shadow 4.17.4-1
shared-mime-info 2.4-2
simple-scan 48.1-1
slang 2.3.3-3
slurp 1.5.0-1
smartmontools 7.5-1
smbclient 2:4.22.2-1
snappy 1.2.2-2
snapshot 48.0.1-1
sndio 1.10.0-1
sof-firmware 2025.05-1
solid 6.15.0-1
sonnet 6.15.0-1
sord 0.16.18-1
sound-theme-freedesktop 0.8-6
soundtouch 2.4.0-1
spandsp 0.0.6-5
spdlog 1.15.3-1
speech-dispatcher 0.12.1-1
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 1:1.4.313.0-1
